0 max = 3.8999999999999986, mean = 0.6383333333333339
1 max = 3.8999999999999986, mean = 0.9916666666666673
2 max = 4.099999999999998, mean = 0.6550000000000004
3 max = 3.8999999999999986, mean = 0.9816666666666674
4 max = 3.9999999999999982, mean = 0.8816666666666672
5 max = 3.5999999999999996, mean = 0.988333333333334
6 max = 3.6999999999999993, mean = 0.9533333333333338
7 max = 11.100000000000001, mean = 1.4100000000000006
8 max = 9.3, mean = 1.7950000000000004
9 max = 25.800000000000004, mean = 3.881666666666667
10 max = 30.100000000000065, mean = 7.011666666666668
11 max = 41.10000000000001, mean = 10.040000000000001
12 max = 23.70000000000001, mean = 8.908333333333333
13 max = 36.10000000000005, mean = 10.926666666666673
14 max = 44.40000000000006, mean = 11.188333333333333
15 max = 48.000000000000064, mean = 12.440000000000005
16 max = 46.900000000000055, mean = 9.843333333333335
17 max = 52.70000000000004, mean = 11.135
18 max = 56.30000000000004, mean = 15.566666666666668
19 max = 62.800000000000104, mean = 17.910000000000018
20 max = 70.2999999999999, mean = 16.068333333333342
21 max = 45.800000000000004, mean = 15.606666666666676
22 max = 71.10000000000008, mean = 21.523333333333348
23 max = 108.4999999999994, mean = 24.633333333333336
24 max = 101.19999999999963, mean = 28.738333333333347
25 max = 159.29999999999922, mean = 22.651666666666657
26 max = 121.79999999999939, mean = 31.35333333333332
27 max = 109.59999999999971, mean = 23.963333333333342
28 max = 98.29999999999976, mean = 33.06000000000002
29 max = 88.99999999999989, mean = 24.046666666666685
30 max = 113.59999999999945, mean = 24.74
31 max = 109.00000000000011, mean = 34.62166666666666
32 max = 92.49999999999977, mean = 38.14666666666667
33 max = 84.2, mean = 29.14833333333336
34 max = 129.99999999999957, mean = 28.446666666666673
35 max = 138.99999999999946, mean = 43.69666666666664
36 max = 136.19999999999987, mean = 28.850000000000005
37 max = 152.19999999999948, mean = 35.25833333333331
38 max = 207.09999999999891, mean = 50.54999999999994
39 max = 221.09999999999874, mean = 46.21166666666661
40 max = 166.99999999999918, mean = 35.20499999999997
41 max = 96.69999999999987, mean = 32.89833333333335
42 max = 157.39999999999924, mean = 49.899999999999956
43 max = 177.19999999999874, mean = 45.369999999999955
44 max = 148.39999999999927, mean = 41.83166666666664
45 max = 276.19999999999925, mean = 41.52999999999998
46 max = 308.49999999999926, mean = 45.36999999999996
47 max = 221.69999999999902, mean = 54.21499999999994
48 max = 296.7999999999998, mean = 50.814999999999905
49 max = 261.8999999999984, mean = 54.45666666666653
50 max = 303.6999999999981, mean = 47.93999999999987
51 max = 188.49999999999963, mean = 31.359999999999932
52 max = 269.99999999999915, mean = 31.674999999999947
53 max = 120.5999999999996, mean = 15.558333333333325
54 max = 215.79999999999893, mean = 39.31166666666653
55 max = 178.8999999999987, mean = 33.60166666666659
56 max = 457.1000000000057, mean = 46.26166666666662
57 max = 395.60000000000275, mean = 79.45333333333309
58 max = 299.20000000000005, mean = 64.6183333333331
59 max = 350.4000000000017, mean = 96.908333333333
60 max = 384.4000000000029, mean = 100.09666666666648
61 max = 341.6000000000006, mean = 98.373333333333
62 max = 407.5000000000051, mean = 102.93166666666662
63 max = 350.0999999999999, mean = 92.83333333333312
64 max = 429.300000000003, mean = 98.7483333333332
65 max = 438.10000000000576, mean = 106.85999999999981
66 max = 581.4000000000117, mean = 110.23500000000018
67 max = 453.1000000000047, mean = 118.83999999999982
68 max = 410.2000000000037, mean = 130.85166666666643
69 max = 518.7000000000066, mean = 113.50833333333348
70 max = 392.4000000000027, mean = 97.02999999999994
71 max = 510.0000000000051, mean = 118.43499999999996
72 max = 469.80000000000575, mean = 120.7833333333332
73 max = 283.39999999999924, mean = 91.7266666666664
74 max = 417.80000000000416, mean = 80.97999999999998
75 max = 346.000000000002, mean = 99.32666666666641
76 max = 595.4000000000117, mean = 96.205
77 max = 334.90000000000055, mean = 73.65999999999991
78 max = 161.69999999999936, mean = 48.48833333333331
79 max = 192.39999999999895, mean = 63.30666666666655
80 max = 263.8999999999984, mean = 65.1299999999999
81 max = 197.19999999999885, mean = 49.08166666666661
82 max = 312.2000000000006, mean = 61.94999999999996
83 max = 200.69999999999945, mean = 51.388333333333314
84 max = 255.49999999999875, mean = 60.716666666666534
85 max = 335.5000000000002, mean = 77.0133333333332
86 max = 189.99999999999926, mean = 66.84333333333319
87 max = 261.7999999999985, mean = 74.59833333333314
88 max = 516.3000000000068, mean = 65.79333333333336
89 max = 190.79999999999916, mean = 48.2416666666666
90 max = 249.09999999999883, mean = 62.353333333333225
91 max = 312.0000000000001, mean = 85.4233333333331
92 max = 250.2999999999986, mean = 82.3249999999998
93 max = 315.4999999999987, mean = 84.87333333333316
94 max = 353.9000000000018, mean = 75.68833333333322
95 max = 206.99999999999903, mean = 64.28333333333323
96 max = 251.29999999999842, mean = 77.48333333333316
97 max = 273.5999999999992, mean = 103.77333333333303
98 max = 269.39999999999964, mean = 100.60499999999976
99 max = 371.6000000000041, mean = 105.43333333333315
100 max = 313.20000000000005, mean = 90.2216666666665
101 max = 243.89999999999858, mean = 65.98333333333325
102 max = 234.69999999999922, mean = 90.00333333333312
103 max = 245.59999999999857, mean = 96.59833333333307
104 max = 283.79999999999944, mean = 90.52666666666637
105 max = 348.19999999999936, mean = 84.6349999999998
106 max = 401.50000000000205, mean = 112.08833333333305
107 max = 385.8000000000029, mean = 106.46499999999973
108 max = 310.0000000000008, mean = 57.73666666666655
109 max = 263.19999999999834, mean = 48.39499999999985
110 max = 367.8999999999995, mean = 93.68499999999976
111 max = 658.4000000000095, mean = 146.19833333333327
112 max = 412.10000000000366, mean = 101.42333333333319
113 max = 434.10000000000196, mean = 92.24666666666641
114 max = 563.1000000000095, mean = 130.02999999999994
115 max = 949.6000000000229, mean = 118.36500000000063
116 max = 395.40000000000265, mean = 92.82499999999979
117 max = 691.3000000000153, mean = 109.06000000000013
118 max = 442.70000000000533, mean = 109.19999999999976
119 max = 333.2999999999996, mean = 115.99666666666634
120 max = 410.8000000000035, mean = 79.31833333333313
121 max = 457.2000000000055, mean = 132.67999999999967
122 max = 594.6000000000104, mean = 121.15999999999985
123 max = 353.60000000000116, mean = 103.40833333333306
124 max = 283.5, mean = 109.68999999999961
125 max = 292.49999999999983, mean = 107.99666666666631
126 max = 333.0000000000005, mean = 110.798333333333
127 max = 387.3000000000029, mean = 100.7849999999998
128 max = 504.6000000000091, mean = 134.1649999999998
129 max = 516.4000000000088, mean = 117.0433333333334
130 max = 687.9000000000136, mean = 129.3616666666667
131 max = 524.9000000000085, mean = 167.0899999999998
132 max = 690.2000000000131, mean = 183.51333333333372
133 max = 544.0000000000118, mean = 159.77833333333373
134 max = 654.4000000000119, mean = 134.76000000000036
135 max = 651.50000000001, mean = 133.24666666666678
136 max = 622.0000000000135, mean = 171.0950000000003
137 max = 694.0000000000146, mean = 158.7283333333336
138 max = 713.900000000012, mean = 141.51333333333358
139 max = 510.6000000000049, mean = 113.33166666666655
140 max = 171.59999999999906, mean = 59.77999999999994
141 max = 427.00000000000523, mean = 80.26166666666667
142 max = 139.89999999999938, mean = 43.643333333333324
143 max = 166.8999999999992, mean = 51.75999999999995
144 max = 113.59999999999943, mean = 41.98333333333334
145 max = 146.1999999999993, mean = 37.096666666666664
146 max = 123.39999999999951, mean = 45.978333333333346
147 max = 161.79999999999902, mean = 42.2
148 max = 218.99999999999858, mean = 70.88666666666653
149 max = 546.4000000000073, mean = 105.0733333333332
150 max = 594.100000000011, mean = 145.92499999999998
151 max = 294.1999999999997, mean = 75.79999999999987
152 max = 219.59999999999866, mean = 70.49333333333318
153 max = 356.9000000000018, mean = 110.16333333333311
154 max = 276.2999999999986, mean = 71.8766666666665
155 max = 562.500000000007, mean = 126.3583333333333
156 max = 500.5000000000054, mean = 122.4416666666665
157 max = 683.7000000000123, mean = 128.40166666666667
158 max = 480.40000000000725, mean = 113.1883333333333
159 max = 269.699999999999, mean = 77.91166666666653
160 max = 201.5999999999995, mean = 53.05166666666661
161 max = 137.5999999999995, mean = 40.68499999999999
162 max = 149.79999999999953, mean = 34.875000000000014
163 max = 126.99999999999942, mean = 33.235
